            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType       time  ubAlg  umdpAlg     ubTime      ub     lb  p1  p2  p3    disp   dispReal    umdpTime  timeLastEC  ecTtb  ecIterTb  ecNumAlt  ecTime  ecInsertTime  ecNodes  lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
  weee-3200-53-025-4          weee  3200  53  5118361  0.25        40     1  0.001    ubi      umdp     1800.4    ubi      fer    17.6837  179204  18382   3   6  19   18382   0.342165     1781.39     1781.39      0         0         0       0             0        0       0          0        0         0        0     4002             NA       0.931353
 weee-2400-41-075-10          weee  2400  41  2878788  0.75        13     1  0.001    ubi      umdp    1255.13    ubi      fer    6.39956  103643  24850   3   6  19   98466     1.0918     1248.07     1248.07      0         0         0       0             0        0       0          0        0         0        0     5195             NA       0.826953
  weee-2800-47-100-6          weee  2800  47  3918579     1        22     1  0.001    ubi      umdp    705.774    ubi      fer    11.1572  119413  20006   3   6  19  117272    1.02094     693.613     693.613      0         0         0       0             0        0       0          0        0         0        0     2142             NA       0.728505
 weee-4000-65-025-10          weee  4000  65  7997920  0.25        81     1  0.001    ubi      umdp    1800.19    ubi      fer    38.3393  254456   2825   3   6  19    2825   0.106715     1759.55     1759.55      0         0         0       0             0        0       0          0        0         0        0     2472             NA        1.10625
  weee-400-11-025-10          weee   400  11    79801  0.25         0     1  0.001    ubi      umdp   0.048859    ubi      fer  0.0251586    2044    825   3   6  19    2044   0.944965   0.0105925   0.0105925      0         0         0       0             0        0       0          0        0         0        0        1             NA     0.00532089
  study-800-17-010-7         study   800  17       57   0.1    319544     1  0.001    ubi      umdp   0.734489    ubi      fer  0.0916023      25     12   3   9  15      17         31    0.561807    0.561807      0         0         0       0             0        0       0          0        0         0        0        9             NA       0.368053
  weee-4000-65-100-5          weee  4000  65  7997903     1        98     1  0.001    ubi      umdp    1800.08    ubi      fer    37.5217  286621  24954   3   6  19   24954   0.318834     1760.39     1760.39      0         0         0       0             0        0       0          0        0         0        0     2468             NA         1.1074
  weee-3600-59-050-2          weee  3600  59  6478145   0.5        56     1  0.001    ubi      umdp    1800.42    ubi      fer    26.0433  219863   1585   3   6  19    1585  0.0887361      1772.7      1772.7      0         0         0       0             0        0       0          0        0         0        0     3030             NA        1.01804
  weee-400-11-075-10          weee   400  11    79801  0.75         0     1  0.001    ubi      umdp  0.0468636    ubi      fer  0.0242187    2044    750   3   6  19    2044   0.944965   0.0101751   0.0101751      0         0         0       0             0        0       0          0        0         0        0        1             NA     0.00519095
  weee-3600-59-100-7          weee  3600  59  6478147     1        54     1  0.001    ubi      umdp    999.422    ubi      fer    25.6959  203803   7957   3   6  19  202099    1.04473     971.945     971.945      0         0         0       0             0        0       0          0        0         0        0     1707             NA        0.97762
   weee-800-17-075-1          weee   800  17   319601  0.75         0     1  0.001    ubi      umdp   0.240986    ubi      fer   0.158192    8243    975   3   6  19    8243   0.944979   0.0329516   0.0329516      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0152227
 study-1600-29-010-6         study  1600  29       59   0.1   1279142     1  0.001    ubi      umdp    2.79641    ubi      fer    0.81738      27     11   3   9  15      17         31     1.54184     1.54184      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.531109
 study-2400-41-000-5         study  2400  41       59     0   2878742     1  0.001    ubi      umdp    7.51461    ubi      fer    2.62111      30      7   3   9  15      19         31     3.63871     3.63871      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.942164
  weee-2800-47-025-4          weee  2800  47  3918573  0.25        28     1  0.001    ubi      umdp    1800.16    ubi      fer    10.9733  141426   3105   3   6  19    3105   0.161527     1788.19     1788.19      0         0         0       0             0        0       0          0        0         0        0     5222             NA       0.836303
 study-3200-53-010-6         study  3200  53       61   0.1   5118340     1  0.001    ubi      umdp    15.1139    ubi      fer    6.30639      30     13   3   9  15      19         31     6.30439     6.30439      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.27943
