instance n m beta time alpha nsolved ubi lbColor ub lb vs timelim memlim
weee-400-7-025-6 400 7 0.25 34.9651319980621 0.001 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-050-6 400 7 0.5 10.5619959831238 0.05 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-050-6 400 7 0.5 10.6829171180725 0.01 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-050-6 400 7 0.5 35.9883050918579 0.001 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-075-6 400 7 0.75 10.6739618778229 0.05 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-075-6 400 7 0.75 10.9094409942627 0.01 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-075-6 400 7 0.75 52.4928500652313 0.001 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-100-6 400 7 1 738.500593900681 0.05 120 0.706323348689536 0.706323348689536 0.670550785418226 0.670550785418226 0.670550785418227 0 0
weee-400-7-100-6 400 7 1 740.492988109589 0.01 120 0.706323348689536 0.706323348689536 0.670550785418226 0.670550785418226 0.670550785418227 0 0
weee-400-7-100-6 400 7 1 1611.50404620171 0.001 259 0.706323348689536 0.706323348689536 0.621838282835659 0.621838282835659 0.621838282835659 0 0
weee-400-9-025-6 400 9 0.25 11.6007988452911 0.05 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-025-6 400 9 0.25 11.7868180274963 0.01 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-025-6 400 9 0.25 12.4019298553467 0.001 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-050-6 400 9 0.5 11.6960160732269 0.05 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-050-6 400 9 0.5 11.8989148139954 0.01 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-050-6 400 9 0.5 12.0628571510315 0.001 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-075-6 400 9 0.75 11.7712180614471 0.05 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-075-6 400 9 0.75 12.086003780365 0.01 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-075-6 400 9 0.75 35.1887648105621 0.001 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-100-6 400 9 1 11.6876277923584 0.05 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-100-6 400 9 1 11.7884771823883 0.01 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-400-9-100-6 400 9 1 11.9407708644867 0.001 1 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0.616203572206459 0 0
weee-500-10-025-6 500 10 0.25 14.9679419994354 0.05 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-025-6 500 10 0.25 15.7207980155945 0.01 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-025-6 500 10 0.25 40.9322791099548 0.001 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-050-6 500 10 0.5 15.1245470046997 0.05 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-050-6 500 10 0.5 14.8136949539185 0.01 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-050-6 500 10 0.5 399.9487221241 0.001 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-075-6 500 10 0.75 15.0460021495819 0.05 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-075-6 500 10 0.75 15.7134730815887 0.01 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-075-6 500 10 0.75 16.7372760772705 0.001 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-100-6 500 10 1 16.1390860080719 0.05 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-100-6 500 10 1 17.7742450237274 0.01 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-10-100-6 500 10 1 48.9535930156708 0.001 1 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780991 0.845270055780992 0 0
weee-500-12-025-6 500 12 0.25 19.5089190006256 0.05 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-025-6 500 12 0.25 20.475949048996 0.01 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-025-6 500 12 0.25 393.746126890182 0.001 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-050-6 500 12 0.5 19.5551218986511 0.05 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-050-6 500 12 0.5 21.3272840976715 0.01 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-050-6 500 12 0.5 581.585700035095 0.001 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-075-6 500 12 0.75 19.3379850387573 0.05 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-075-6 500 12 0.75 20.646525144577 0.01 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-075-6 500 12 0.75 513.355568170547 0.001 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-100-6 500 12 1 20.4224281311035 0.05 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
weee-500-12-100-6 500 12 1 21.857607126236 0.01 1 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0.984808794690624 0 0
