            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
 study-3200-53-000-8         study  3200  53       60     0   5118341     1  0.001   none      umdp    1  1800.04       ec    6.28446       59     11   4   8   8      20        31   1791.29     1673.93    51.1616       116       120  1791.24       1754.87   31590483     1.84247         92     1414      1213       81        0             NA              0
  weee-2400-41-025-8          weee  2400  41  2878785  0.25        16     1  0.001   none      umdp    1  1800.02       ec    6.42286  2878784  11902   4   8   8   99433   1.10301   1792.87     1750.94    49.0673       237       238  1792.85       1758.42  145365286     2.09367        192     2232       967     1027        0             NA              0
 study-2000-35-000-3         study  2000  35       61     0   1998940     1  0.001   none      umdp    1  1800.01       ec    1.52438       60      9   4   8   8      20        31   1797.72     1785.29    14.7274        68        69   1797.7       1789.54   61313506    0.566276         62      807       694       44        0             NA              0
  weee-2000-35-075-5          weee  2000  35  1998997  0.75         4     1  0.001   none      umdp    1  1800.01       ec    3.63396  1998996   6491   4   8   8   69139   1.10335   1795.93     1754.48    45.5218       211       212  1795.91       1774.61  160108836     1.34279        168     1982      1063      707        0             NA              0
   weee-800-17-100-6          weee   800  17   319601     1         0     1  0.001   none      umdp    1  476.229       ec   0.173101   319600    889   4   8   8   10466   1.06263   476.002     235.869   0.628466        25        27  475.999       475.606  104431400   0.0636512         25      431       309       95        0             NA              0
  weee-1200-23-025-2          weee  1200  23   719401  0.25         0     1  0.001   none      umdp    1  963.207       ec   0.587015   719400   2830   4   8   8   20401  0.992155   962.479     479.382    2.08899        33        35  962.474       961.227  140307568    0.126025         27      439       292      112        0             NA              0
  study-400-11-000-1         study   400  11       56     0     79745     1  0.001   none      umdp    1  87.7779       ec  0.0131569       55     10   4   8   8      17        31   87.7497     27.0163   0.078591        13        18  87.7489       87.6893   18324741   0.0112207         16      165       128       19        0             NA              0
 study-1200-23-010-8         study  1200  23       56   0.1    719345     1  0.001   none      umdp    1     1800       ec   0.265396       55      8   4   8   8      17        31   1799.51     1797.54    2.46165        37        38  1799.51       1797.86  116085326    0.157709         33      453       383       32        0             NA              0
  weee-3600-59-100-6          weee  3600  59  6478130     1        71     1  0.001   none      umdp    1  1800.05       ec    25.7006  6478129  36955   4   8   8  220562   1.09472   1772.66     1541.93    258.083       389       390   1772.6       1645.92  109390075     6.56494        307     4750      2718     1642        0             NA              0
 study-2800-47-010-5         study  2800  47       61   0.1   3918540     1  0.001   none      umdp    1  1800.03       ec    4.15766       60     13   4   8   8      20        31   1794.07     1759.31      40.69        88        90  1794.03       1773.18   41388562      1.2584         75     1170      1017       63        0             NA              0
