            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal   ubRbTime  ubRbIterToBest      ubrbTtb   ubRbAvgCons  ubRbMinCons  ubRbAvg    ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 study-2000-35-000-1         study  2000  35       59     0   1998942     1  0.001   ubrb        ub    1    10.0977       NA             NA      NA          NA          NA      NA   NA       NA   10.09760            2005     0.025826      26.00500           25  0.00000      25  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-000-3         study  4000  65       63     0   7997938     1  0.001   ubrb        ub    1      117.5       NA             NA      NA          NA          NA      NA   NA       NA  117.49971            4100      3.05004      29.61700           28  0.00000      28  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-8         study  1200  23       56     0    719345     1  0.001   ubrb        ub    1    1.89969       NA             NA      NA          NA          NA      NA   NA       NA    1.89964            1383     0.292079      24.02917           22  0.00000      22  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-7          weee  2800  47  3918571     1        30     1  0.001   ubrb        ub    1    41.4472       NA             NA      NA          NA          NA      NA   NA       NA   41.44711            3996      17.7091  195393.54893       143006  0.00000  143006   1.13849       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-3          weee  2400  41  2878789   0.5        12     1  0.001   ubrb        ub    1      23.05       NA             NA      NA          NA          NA      NA   NA       NA   23.04993            4131      16.6253  144212.33333        84857  0.00000   84857   1.01318       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-025-1          weee  2800  47  3918579  0.25        22     1  0.001   ubrb        ub    1    41.6428       NA             NA      NA          NA          NA      NA   NA       NA   41.64276            2813     0.174838  194619.54321       136495  0.00000  136495   1.10845       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-400-11-100-10          weee   400  11    79801     1         0     1  0.001   ubrb        ub    1  0.0580954       NA             NA      NA          NA          NA      NA   NA       NA    0.05805             654    0.0369124    4992.50750         2044  0.00000    2044   0.94497       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-025-1          weee  2000  35  1998995  0.25         6     1  0.001   ubrb        ub    1    11.6911       NA             NA      NA          NA          NA      NA   NA       NA   11.69102            2111     0.649151   99774.72200        60231  0.00000   60231   1.01442       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-3         study  2000  35       61     0   1998940     1  0.001   ubrb        ub    1     10.065       NA             NA      NA          NA          NA      NA   NA       NA   10.06490            2056     0.281267      27.60600           26  0.00000      26  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1600-29-050-3          weee  1600  29  1279195   0.5         6     1  0.001   ubrb        ub    1    5.12876       NA             NA      NA          NA          NA      NA   NA       NA    5.12871            1880     0.906948   63583.40938        37879  0.00000   37879   1.01796       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-010-7         study  1200  23       59   0.1    719342     1  0.001   ubrb        ub    1    1.89361       NA             NA      NA          NA          NA      NA   NA       NA    1.89355            1201   0.00161661      26.29917           25  0.00000      25  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-010-6         study  2800  47       59   0.1   3918542     1  0.001   ubrb        ub    1    32.4652       NA             NA      NA          NA          NA      NA   NA       NA   32.46517            3321       6.1231      28.02607           26  0.00000      26  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3200-53-100-8          weee  3200  53  5118364     1        37     1  0.001   ubrb        ub    1    68.8588       NA             NA      NA          NA          NA      NA   NA       NA   68.85876            5128      41.6263  259402.49438       195748  0.00000  195748   1.15977       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-2800-47-010-10         study  2800  47       62   0.1   3918539     1  0.001   ubrb        ub    1    32.4182       NA             NA      NA          NA          NA      NA   NA       NA   32.41815            2807    0.0787763      28.99857           28  0.00000      28  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3600-59-000-6         study  3600  59       61     0   6478140     1  0.001   ubrb        ub    1    80.9011       NA             NA      NA          NA          NA      NA   NA       NA   80.90103            4205      13.7172      28.78583           27  0.00000      27  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 weee-3200-53-025-10          weee  3200  53  5118370  0.25        31     1  0.001   ubrb        ub    1    68.2683       NA             NA      NA          NA          NA      NA   NA       NA   68.26820            3878      14.5121  254258.70594       167640  0.00000  167640   1.06931       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-100-8          weee  2000  35  1998995     1         6     1  0.001   ubrb        ub    1     11.659       NA             NA      NA          NA          NA      NA   NA       NA   11.65897            2037     0.222783  100437.46100        63272  0.00000   63272   1.05148       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-025-5          weee  2400  41  2878790  0.25        11     1  0.001   ubrb        ub    1    23.2757       NA             NA      NA          NA          NA      NA   NA       NA   23.27562            3066      6.47976  145532.64833       105314  0.00000  105314   1.14302       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
   weee-800-17-050-6          weee   800  17   319601   0.5         0     1  0.001   ubrb        ub    1   0.483066       NA             NA      NA          NA          NA      NA   NA       NA    0.48302             866    0.0402771   17016.82500        10466  0.00000   10466   1.06263       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-000-5         study  4000  65       61     0   7997940     1  0.001   ubrb        ub    1    117.611       NA             NA      NA          NA          NA      NA   NA       NA  117.61109            4360      10.5397      28.58875           27  0.00000      27  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-010-9         study  2000  35       57   0.1   1998944     1  0.001   ubrb        ub    1    10.2009       NA             NA      NA          NA          NA      NA   NA       NA   10.20080            2095     0.482869      25.86250           24  0.00000      24  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-7         study  1200  23       59     0    719342     1  0.001   ubrb        ub    1    1.89033       NA             NA      NA          NA          NA      NA   NA       NA    1.89027            1201   0.00162822      26.29917           25  0.00000      25  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
