            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
 study-400-11-010-13         study   400  11       49   0.1     79752     1  0.001    ubs        ub    1   0.118499       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.11845      1.05             14       28  0.0799848         10             13               2                38          0.00244      18  35.00000
study-3600-59-010-12         study  3600  59       61   0.1   6478140     1  0.001    ubs        ub    1    11.2505       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    11.25048      1.05             62      124    9.36579         21              4               4               145          0.00175      27  38.00000
study-4000-65-010-17         study  4000  65       62   0.1   7997939     1  0.001    ubs        ub    1    16.2454       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    16.24531      1.05             68      136    13.6673         21              4               4               157          0.00179      27  38.00000
study-2800-47-010-27         study  2800  47       62   0.1   3918539     1  0.001    ubs        ub    1    5.33351       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.33347      1.05             50      100    4.37597         20             17               4               120          0.00191      26  37.00000
  weee-800-17-100-27          weee   800  17   319601     1         0     1  0.001    ubs        ub    1   0.240091       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.24006      1.05             20       40          0          0             -1               0                40          0.00147    8264   0.94368
study-1600-29-010-16         study  1600  29       56   0.1   1279145     1  0.001    ubs        ub    1    1.06463       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.06460      1.05             32       64    0.99242         20             46               4                84          0.00137      22  36.00000
 weee-2800-47-100-20          weee  2800  47  3918582     1        19     1  0.001    ubs        ub    1    11.6295       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    11.62943      1.05             50      100          0          0             -1               0               100          0.00177  137804   1.11102
study-3600-59-010-29         study  3600  59       62   0.1   6478139     1  0.001    ubs        ub    1    12.0752       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.07519      1.05             62      124    10.2648         26              5               5               150          0.00188      27  38.00000
 weee-3600-59-100-25          weee  3600  59  6478133     1        68     1  0.001    ubs        ub    1    29.3451       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    29.34501      1.05             62      124          0          0             -1               0               124          0.00170  213209   1.07445
study-2800-47-010-16         study  2800  47       62   0.1   3918539     1  0.001    ubs        ub    1    5.16425       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.16422      1.05             50      100    4.37846         20              4               4               120          0.00140      27  38.00000
study-2000-35-010-30         study  2000  35       57   0.1   1998944     1  0.001    ubs        ub    1    2.11792       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.11787      1.05             38       76     1.7266         20             17               4                96          0.00183      24  37.00000
