            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
  weee-1600-29-075-5          weee  1600  29  1279201  0.75         0     1  0.001    ubs        ub    1    2.03472       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.03468       1.5             43       86          0          0             -1               0                86          0.00152   40659   1.05175
  weee-400-11-075-10          weee   400  11    79801  0.75         0     1  0.001    ubs        ub    1  0.0709565       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.07092       1.5             16       32          0          0             -1               0                32          0.00121    2044   0.94497
   weee-800-17-050-8          weee   800  17   319601   0.5         0     1  0.001    ubs        ub    1   0.269611       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.26957       1.5             25       50          0          0             -1               0                50          0.00130    8715   0.97488
  weee-2000-35-050-5          weee  2000  35  1998997   0.5         4     1  0.001    ubs        ub    1    4.53394       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.53389       1.5             52      104          0          0             -1               0               104          0.00479   70090   1.11100
  study-400-11-010-9         study   400  11       51   0.1     79750     1  0.001    ubs        ub    1  0.0656459       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06561       1.5             16       32  0.0314757          5              5               1                37          0.00117      20  35.00000
  weee-2800-47-100-2          weee  2800  47  3918567     1        34     1  0.001    ubs        ub    1    13.2945       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    13.29448       1.5             70      140    11.4162         17             40               1               157          0.00357  139429   1.11599
  weee-2800-47-075-5          weee  2800  47  3918584  0.75        17     1  0.001    ubs        ub    1    12.5833       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.58329       1.5             70      140          0          0             -1               0               140          0.00157  134434   1.10525
 weee-2000-35-100-10          weee  2000  35  1998996     1         5     1  0.001    ubs        ub    1    4.20838       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.20833       1.5             52      104          0          0             -1               0               104          0.00154   57297   0.99847
  weee-3200-53-100-2          weee  3200  53  5118369     1        32     1  0.001    ubs        ub    1    19.8523       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    19.85229       1.5             79      158          0          0             -1               0               158          0.00147  167868   1.06942
 study-1200-23-010-6         study  1200  23       58   0.1    719343     1  0.001    ubs        ub    1   0.468008       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.46797       1.5             34       68   0.250449         10              2               2                78          0.00126      24  36.00000
 weee-2800-47-050-10          weee  2800  47  3918581   0.5        20     1  0.001    ubs        ub    1    12.0309       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.03089       1.5             70      140          0          0             -1               0               140          0.00141  114566   1.01032
   weee-800-17-075-3          weee   800  17   319601  0.75         0     1  0.001    ubs        ub    1   0.234584       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.23454       1.5             25       50          0          0             -1               0                50          0.00115    9694   1.02114
  weee-3200-53-050-7          weee  3200  53  5118363   0.5        38     1  0.001    ubs        ub    1    18.5688       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    18.56878       1.5             79      158          0          0             -1               0               158          0.00148  168866   1.07693
   weee-800-17-050-7          weee   800  17   319601   0.5         0     1  0.001    ubs        ub    1   0.266917       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.26688       1.5             25       50          0          0             -1               0                50          0.00122    9088   0.99286
  weee-3200-53-100-1          weee  3200  53  5118359     1        42     1  0.001    ubs        ub    1    18.9149       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    18.91484       1.5             79      158          0          0             -1               0               158          0.00161  168015   1.07073
 study-2000-35-010-3         study  2000  35       61   0.1   1998940     1  0.001    ubs        ub    1    2.20798       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.20793       1.5             52      104    1.92149         20             70               4               124          0.00140      25  36.00000
  weee-3600-59-075-5          weee  3600  59  6478139  0.75        62     1  0.001    ubs        ub    1    28.9617       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    28.96163       1.5             88      176          0          0             -1               0               176          0.00171  184209   0.99236
  weee-1200-23-050-8          weee  1200  23   719401   0.5         0     1  0.001    ubs        ub    1   0.725606       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.72556       1.5             34       68          0          0             -1               0                68          0.00135   18523   0.94908
  weee-2000-35-050-6          weee  2000  35  1998994   0.5         7     1  0.001    ubs        ub    1    4.56561       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.56556       1.5             52      104          0          0             -1               0               104          0.00159   62788   1.04890
