            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau        time   ubiTime  ubiIterToBest       ubiTtb    ubiAvgCons  ubiMinCons        ubiAvg     ubi   ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 study-1200-23-000-7         study  1200  23       59     0    719342     1  0.001    ubi        ub    1    0.175537   0.17549            303    0.0430129      34.76000          30      32.63750      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1600-29-075-7          weee  1600  29  1279198  0.75         3     1  0.001    ubi        ub    1    0.883842   0.88380            132     0.068776   78992.64000       41215   65769.99375   38407   1.01765        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-050-2          weee  1200  23   719401   0.5         0     1  0.001    ubi        ub    1    0.355253   0.35520             23   0.00691574   46697.62417       20911   38832.47417   20401   0.99216        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-050-4          weee  2000  35  1998996   0.5         5     1  0.001    ubi        ub    1      1.7643   1.76426           1854      1.63417  123198.44500       68525  105383.51050   68462   1.10021        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3200-53-025-8          weee  3200  53  5118364  0.25        37     1  0.001    ubi        ub    1     8.10142   8.10137           1909      4.94392  307502.52000      194150  268939.78187  178575   1.10506        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-010-1         study   800  17       55   0.1    319546     1  0.001    ubi        ub    1   0.0601641   0.06011            780    0.0585622      30.92250          26      28.39500      23  38.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-800-17-100-10          weee   800  17   319601     1         0     1  0.001    ubi        ub    1     0.11686   0.11681            240     0.036349   22064.73375        9439   17762.31125    9439   1.01164        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-010-2         study   800  17       54   0.1    319547     1  0.001    ubi        ub    1   0.0601644   0.06011            351    0.0266493      30.82875          25      28.34375      23  38.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-010-1         study  2800  47       60   0.1   3918541     1  0.001    ubi        ub    1     2.16247   2.16242            434     0.322794      36.32929          32      34.65000      30  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2400-41-000-9         study  2400  41       60     0   2878741     1  0.001    ubi        ub    1      1.3405   1.34045            483     0.265071      37.03167          32      35.33583      31  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-100-4          weee  2000  35  1998996     1         5     1  0.001    ubi        ub    1     1.77855   1.77850           1854      1.64439  123198.44500       68525  105383.51050   68462   1.10021        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-025-3          weee  2800  47  3918567  0.25        34     1  0.001    ubi        ub    1     5.17294   5.17289             41    0.0784753  235820.35571      135115  204720.62929  127382   1.07125        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
